run_id	n_simulations	c2st_metric_mean
lotka-volterra_latent_variables_compressor_simulation_and_score_1652641437_5421c9be	20	0.9921299815177917
lotka-volterra_latent_variables_compressor_simulation_and_score_1652641447_52ef4b4a	50	0.9934199452400208
lotka-volterra_latent_variables_compressor_simulation_and_score_1652641456_fbc6f0fd	100	0.9854399561882019
lotka-volterra_latent_variables_compressor_simulation_and_score_1652641464_32d8b19b	500	0.7918800711631775
lotka-volterra_latent_variables_compressor_simulation_and_score_1652641471_0f584dcf	1000	0.8063499331474304
lotka-volterra_latent_variables_compressor_simulation_and_score_1652641488_66ef24ff	100000	0.786590039730072
lotka-volterra_latent_variables_compressor_simulation_and_score_1652643776345	10000	0.8024700284004211
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644430_1964f19c	20	0.9988299608230591
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644438_1bc4fecf	20	0.999940037727356
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644446_35ec1fc9	20	0.9957200288772583
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644454_77c389cd	50	0.9851700067520142
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644462_0a8c5506	50	0.9850700497627258
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644470_8cb71b22	50	0.9886699914932251
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644481_3af2136b	50	0.9913999438285828
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644489_94b4fa0b	100	0.9674400687217712
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644496_37a053cc	100	0.9651299715042114
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644504_e2ccbadc	100	0.9791099429130554
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644514_e18d9f96	100	0.9437000155448914
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644522_b9d06575	500	0.8191699981689453
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644530_3871ab7e	500	0.8184999823570251
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644538_da36613b	500	0.8525400161743164
lotka-volterra_latent_variables_compressor_simulation_and_score_1652644546_9398d063	500	0.829230010509491
