run_id	step	c2st_metric
two_moons_without_score_1652198758_f8f81e93	0	0.8499000072479248
two_moons_without_score_1652198758_f8f81e93	1	0.7650499939918518
two_moons_without_score_1652198758_f8f81e93	2	0.661300003528595
two_moons_without_score_1652198758_f8f81e93	3	0.6440500020980835
two_moons_without_score_1652198758_f8f81e93	4	0.5870500206947327
two_moons_without_score_1652198758_f8f81e93	5	0.5838500261306763
two_moons_without_score_1652198776_5843f984	0	0.7849500179290771
two_moons_without_score_1652198776_5843f984	1	0.7680500149726868
two_moons_without_score_1652198776_5843f984	2	0.6819000244140625
two_moons_without_score_1652198776_5843f984	3	0.6200500130653381
two_moons_without_score_1652198776_5843f984	4	0.5774000287055969
two_moons_without_score_1652198776_5843f984	5	0.593500018119812
two_moons_without_score_1652198808_1175e444	0	0.8174499869346619
two_moons_without_score_1652198808_1175e444	1	0.7494000196456909
two_moons_without_score_1652198808_1175e444	2	0.7008000016212463
two_moons_without_score_1652198808_1175e444	3	0.628250002861023
two_moons_without_score_1652198808_1175e444	4	0.583299994468689
two_moons_without_score_1652198808_1175e444	5	0.5720499753952026
two_moons_without_score_1652198827_251b514d	0	0.7747499942779541
two_moons_without_score_1652198827_251b514d	1	0.751800000667572
two_moons_without_score_1652198827_251b514d	2	0.684249997138977
two_moons_without_score_1652198827_251b514d	3	0.6413999795913696
two_moons_without_score_1652198827_251b514d	4	0.5665000081062317
two_moons_without_score_1652198827_251b514d	5	0.6010500192642212
two_moons_without_score_1652198843_8021f1e8	0	0.8443499803543091
two_moons_without_score_1652198843_8021f1e8	1	0.7675999999046326
two_moons_without_score_1652198843_8021f1e8	2	0.6869000196456909
two_moons_without_score_1652198843_8021f1e8	3	0.6231499910354614
two_moons_without_score_1652198843_8021f1e8	4	0.583899974822998
two_moons_without_score_1652198843_8021f1e8	5	0.5810999870300293
two_moons_without_score_1652198860_763f625b	0	0.8069499731063843
two_moons_without_score_1652198860_763f625b	1	0.7404999732971191
two_moons_without_score_1652198860_763f625b	2	0.6721500158309937
two_moons_without_score_1652198860_763f625b	3	0.6362500190734863
two_moons_without_score_1652198860_763f625b	4	0.5928999781608582
two_moons_without_score_1652198860_763f625b	5	0.5676000118255615
two_moons_without_score_1652198876_d5533ade	0	0.7829999923706055
two_moons_without_score_1652198876_d5533ade	1	0.7216500043869019
two_moons_without_score_1652198876_d5533ade	2	0.6810500025749207
two_moons_without_score_1652198876_d5533ade	3	0.6578999757766724
two_moons_without_score_1652198876_d5533ade	4	0.6092000007629395
two_moons_without_score_1652198876_d5533ade	5	0.5593500137329102
two_moons_without_score_1652198893_3309a945	0	0.8098499774932861
two_moons_without_score_1652198893_3309a945	1	0.7471500039100647
two_moons_without_score_1652198893_3309a945	2	0.6937500238418579
two_moons_without_score_1652198893_3309a945	3	0.6438999772071838
two_moons_without_score_1652198893_3309a945	4	0.607200026512146
two_moons_without_score_1652198893_3309a945	5	0.5906000137329102
two_moons_without_score_1652198913_c2722ed9	0	0.859499990940094
two_moons_without_score_1652198913_c2722ed9	1	0.7504500150680542
two_moons_without_score_1652198913_c2722ed9	2	0.6793000102043152
two_moons_without_score_1652198913_c2722ed9	3	0.6406999826431274
two_moons_without_score_1652198913_c2722ed9	4	0.5831000208854675
two_moons_without_score_1652198913_c2722ed9	5	0.6059499979019165
two_moons_without_score_1652211756040	0	0.8532500267028809
two_moons_without_score_1652211756040	1	0.7228000164031982
two_moons_without_score_1652211756040	2	0.6636499762535095
two_moons_without_score_1652211756040	3	0.616599977016449
two_moons_without_score_1652211756040	4	0.6103500127792358
two_moons_without_score_1652211756040	5	0.5645999908447266
