run_id	n_simulations	c2st_metric_mean
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106433_3cee330b	50	0.9574500322341919
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106444_47b57558	100	0.9211599230766296
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106452_09e0bc14	200	0.894770085811615
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106460_cbd89c56	500	0.879360020160675
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106468_08152f8c	1000	0.8793100714683533
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106476_cdc3b866	10000	0.8814000487327576
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106484_50f81762	100000	0.8639699816703796
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106492_bbe28c62	20	0.9929699897766113
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106500_3b251598	50	0.9342900514602661
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106508_3d0fb3ff	100	0.9169700741767883
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106516_51cfb299	200	0.8661199808120728
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106527_e561a664	500	0.885729968547821
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106537_3988f592	1000	0.8712999224662781
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106545_8805585a	10000	0.8860099911689758
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106553_c5024942	100000	0.8724899291992188
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106561_fa343afe	20	0.9997900128364563
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106569_2d1f05af	50	0.9534700512886047
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106577_dcee26df	100	0.9058300256729126
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106585_fab6d14c	200	0.8921600580215454
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106594_6b8a269e	500	0.8629400134086609
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106603_ae72d4e2	1000	0.8389200568199158
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106611_2e3b828e	10000	0.8790599703788757
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106619_911d39ec	100000	0.8807000517845154
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106628_3fb43aa8	20	0.998680055141449
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106636_fc28c8ad	50	0.9428200125694275
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106644_e0606637	100	0.9241400957107544
100622_lotvolt_without_latvar_newcprsr_sim_score_1655106652_6d5b6255	200	0.9015700221061707
